;id;DS.chainage;river;velocity;c;len(DS.densified_wl_by_regr_itpd);len(DS.upstream_adjacent_vs);mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd
0;46217;78287,03637738184;Po;1,4538227504469692;0,024;655;22;0,33716472454562146;0,10895884003741815;0,3538023386342376;0,4543;0,9873;0,0979;0,3262;0,1803;0,9367;0,701;0,9976;0,9639;0,9909
1;46221;114018,01273358069;Po;0,6100742903611648;0,06;658;22;0,32463405887402985;0,12425496688741723;0,6064292715231788;0,5527;0,9876;0,1179;0,5236;0,3123;0,9101;0,7128;0,9962;0,9097;0,9708
2;46225;171852,2804483872;Po;1,2502348203723193;0,032;658;20;0,3095151320213919;0,12897989949748745;0,6664025843503231;0,4728;1,124;0,2241;0,3938;0,2594;0,946;0,6951;0,9873;0,9587;0,9808
3;23876;200061,70532737562;Po;0,8541582204490006;0,046;659;22;0,3245929432581755;0,12425115970841617;0,8103751491053678;0,6751;1,3789;0,1324;0,6685;0,2875;0,893;0,523;0,9964;0,8795;0,9837
4;46227;220907,08354902847;Po;1,5469454223673875;0,026;659;22;0,3234028659586386;0,12409410205434065;0,9578134526176276;0,5871;1,0323;0,1514;0,4913;0,2979;0,9168;0,7429;0,9949;0,9343;0,9775
5;46232;270468,2411846031;Po;1,3729952098053426;0,03;660;22;0,2887836220912734;0,13417836010143702;1,0494060016906168;0,6149;1,0422;0,1866;0,4495;0,2735;0,8927;0,6917;0,9911;0,9397;0,9782
6;14039;308347,71673388884;Po;1,607651469595507;0,024;649;8;0,22711217514575857;0,1266282798833819;0,6033233236151603;0,6213;0,8565;0,2135;0,4942;0,2655;0,784;0,578;0,9751;0,835;0,9592
7;41863;147714,4396594754;Rhine;0,9313545554122171;0,044;654;28;0,09318544789098626;0,06849759229534512;0,35364521134296417;0,2979;0,6539;0,0421;0,2061;0,0699;0,9641;0,8269;0,9991;0,9798;0,9976
8;41905;185542,2744992548;Rhine;1,7653126445905698;0,024;653;33;0,10090233618184957;0,07201474414570684;0,35669180398959244;0,3276;0,4458;0,0709;0,203;0,0873;0,9604;0,9267;0,9981;0,9829;0,997
9;41861;218037,67530584385;Rhine;1,352477955410459;0,032;654;36;0,10184994857893105;0,0739101595298069;0,3120164987405541;0,3189;0,4876;0,0486;0,1692;0,0858;0,9568;0,899;0,9989;0,9863;0,9964
10;41931;255202,3656464955;Rhine;1,3742719463361526;0,032;654;40;0,10103671753591216;0,07445536445536445;0,2685831695331696;0,2855;0,4231;0,031;0,1758;0,0845;0,9622;0,917;0,9995;0,9842;0,9965
11;42213;310050,6355811434;Rhine;1,3002209197614785;0,034;655;45;0,10447053800952516;0,0754243827160494;0,3130411651234568;0,3242;0,7139;0,0384;0,2086;0,0878;0,9515;0,765;0,9993;0,9786;0,9962
12;41903;361011,36655822257;Rhine;1,4668347475618004;0,03;655;49;0,10796572547754292;0,07920286085825748;0,35620502817511923;0,2685;0,4878;0,056;0,1939;0,0988;0,9576;0,8601;0,9981;0,9768;0,9941
13;41900;439615,0889590909;Rhine;1,5767441890176945;0,028;656;48;0,11690945836489976;0,08763830985915493;0,40856816901408455;0,2966;0,5668;0,0759;0,3026;0,2019;0,941;0,7854;0,9958;0,9432;0,9706
14;41899;448733,0573867012;Rhine;0,8533487225963807;0,052;659;47;0,10687061764304265;0,08485698630136988;0,41466794520547945;0,3087;0,7157;0,0841;0,2798;0,1395;0,937;0,6612;0,9955;0,9437;0,987
15;41897;478239,2477053198;Rhine;1,2710293959440382;0,03;651;32;0,10081585770958165;0,0765683520599251;0,22797649812734083;0,1529;0,416;0,0417;0,1143;0,1319;0,9622;0,7196;0,9973;0,979;0,9711
16;46148;499137,6826820462;Rhine;1,6882845772450268;0,024;651;43;0,0993555325485558;0,08268598679383712;0,2375573000733676;0,1997;0,2527;0,0863;0,1716;0,0881;0,95;0,92;0,9917;0,9644;0,9913
17;41893;555161,3104702845;Rhine;0,8917956494485582;0,042;655;38;0,12520985342358895;0,08123821339950374;0,26183560794044664;0,2416;0,3686;0,0526;0,1856;0,0769;0,9548;0,8947;0,9982;0,9723;0,996
18;41865;598357,646958985;Rhine;0,6737432709738146;0,056;653;33;0,12641204390434055;0,08289142091152815;0,2912363941018767;0,293;0,5453;0,069;0,2498;0,078;0,933;0,768;0,9968;0,951;0,9956
19;41891;636723,4951453801;Rhine;1,2147533126860384;0,034;652;30;0,14525872396392833;0,08906903765690377;0,25385251046025104;0,2278;0,3772;0,0601;0,1681;0,0901;0,9437;0,8457;0,9964;0,9702;0,9911
23;41927;228129,8234030728;Elbe;1,1675673150942487;0,026;659;27;0,07708091054806217;0,08072899505766064;0,25197578253706754;0,1715;0,1653;0,039;0,1596;0,083;0,9825;0,9835;0,999;0,9834;0,9957
24;41925;312229,81276551547;Elbe;0,9154060165176637;0,036;660;33;0,07803425902008487;0,09093486590038316;0,28412094508301405;0,1532;0,6594;0,0611;0,1427;0,0504;0,9826;0,6786;0,9965;0,9826;0,9976
25;41855;346434,46845029754;Elbe;0,929687899199061;0,036;658;36;0,08161621294540056;0,10123501683501683;0,2803124579124579;0,1383;0,1725;0,0435;0,1173;0,0936;0,9829;0,9734;0,9983;0,9857;0,9921
26;41882;455295,5836026555;Elbe;1,2701845639065668;0,028;663;43;0,07809023290427197;0,11079265003371544;0,6803926163182737;0,2298;0,2077;0,1033;0,202;0,0651;0,9585;0,9661;0,9918;0,9617;0,9968
27;41945;548572,3838389295;Elbe;1,0875578624698017;0,034;653;38;0,08023135305076148;0,12917874015748032;0,28450401574803147;0,2063;0,2998;0,0677;0,1646;0,0796;0,9639;0,9238;0,9956;0,9724;0,9938
28;41885;567037,826478596;Elbe;0,7713260955200222;0,048;653;37;0,0800107548922154;0,12869230769230772;0,3022986813186813;0,2394;0,1828;0,0539;0,173;0,0824;0,9574;0,9751;0,9979;0,9724;0,995
29;41918;613135,4362074754;Elbe;1,1113002460435062;0,034;653;32;0,08324748292163098;0,13938118131868132;0,33131119505494505;0,2238;0,2276;0,061;0,1925;0,0734;0,9688;0,9678;0,9979;0,9726;0,9969
30;41887;712074,4162252684;Elbe;1,2494811256534064;0,032;654;25;0,08551563195616195;0,15534036939313986;0,22515408970976253;0,2152;0,2909;0,0695;0,1319;0,1003;0,9532;0,9146;0,9963;0,9802;0,9919
0;42214;173586,2169616771;Oder;0,7728130009643385;0,034;639;6;0,08859632296463443;0,08223790322580646;0,08126895161290322;0,1089;0,2111;0,0267;0,0799;0,0611;0,9825;0,9343;0,9988;0,9891;0,9936
1;41866;234513,3393847275;Oder;1,15160406033445;0,032;652;20;0,0848610053298643;0,11944869215291751;0,16473289738430583;0,1429;0,1552;0,0378;0,1086;0,0698;0,9663;0,9603;0,9975;0,9788;0,9912
2;42224;286057,9769483367;Oder;0,9739519966521227;0,038;654;20;0,11564914964939503;0,12689753218884123;0,4130666845493562;0,1815;0,2003;0,1059;0,1757;0,1141;0,9576;0,9484;0,9861;0,9544;0,9832
3;42305;326460,34372443985;Oder;1,2310485348019908;0,03;653;20;0,08477532797762112;0,1135957910014514;0,31163592162554427;0,1404;0,1995;0,0766;0,1355;0,0636;0,9744;0,9483;0,9924;0,9734;0,9946
4;23410;483182,6678917009;Oder;1,6940654488500737;0,022;655;20;0,11546754564412742;0,12657557826788596;0,8658680473372782;0,3807;0,3698;0,2403;0,3678;0,1954;0,8394;0,849;0,9446;0,8306;0,9538
