;id;DS.chainage;river;velocity;c;num_of_all_meas;num_of_vs;mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd
0;46217;78287,03637738184;Po;1,4456007054921696;0,024;856;21;0,3136368432978256;0,1026927570093458;0,3540622663551402;0,4545;0,9478;0,0989;0,338;0,1788;0,9404;0,7406;0,9978;0,9631;0,9921
1;46221;114018,01273358069;Po;0,9121822503705586;0,04;1185;22;0,2985770773710889;0,11736708860759493;0,597722194092827;0,4946;0,9794;0,1335;0,4587;0,3445;0,9347;0,744;0,9958;0,9385;0,9701
2;46225;171852,2804483872;Po;1,234954649059473;0,032;1019;18;0,28926769091688287;0,11732580961727185;0,6397120706575075;0,4637;1,1272;0,2421;0,3785;0,2628;0,9511;0,7112;0,9872;0,9645;0,9829
3;23876;200061,70532737562;Po;0,8935941526988742;0,044;1184;22;0,29791075665390887;0,1173116554054054;0,827841722972973;0,6443;1,4613;0,1469;0,6352;0,2935;0,9114;0,533;0,9961;0,9029;0,9822
4;46227;220907,08354902847;Po;2,02363264896627;0,02;1186;22;0,2989100326311436;0,11743086003372684;0,9468015177065767;0,5585;1,003;0,2202;0,4585;0,2408;0,9289;0,7706;0,9904;0,9497;0,9868
5;46232;270468,2411846031;Po;1,5847492626382085;0,026;922;22;0,25915651110700877;0,12592190889370933;1,035532863340564;0,5306;1,0352;0,1849;0,4365;0,2029;0,9265;0,7204;0,992;0,9505;0,9893
6;14039;308347,71673388884;Po;1,4833870155457636;0,024;529;8;0,22265157841200062;0,12731001890359167;0,6543773156899811;0,5298;0,8452;0,2364;0,4747;0,1803;0,8365;0,5697;0,9727;0,8474;0,9818
7;41905;185542,2744992548;Rhine;1,688567493354122;0,026;1656;28;0,11345720708473893;0,07280314009661837;0,35804661835748786;0,297;0,3968;0,0768;0,2126;0,0853;0,9679;0,9428;0,9978;0,9818;0,9972
8;41861;218037,67530584385;Rhine;1,419087786526211;0,032;1652;28;0,11320845167741873;0,07289709443099275;0,2817692493946731;0,2753;0,4881;0,0445;0,1601;0,0795;0,968;0,8994;0,9991;0,9885;0,997
9;41931;255202,3656464955;Rhine;1,4290114100264482;0,032;1775;32;0,1132994600189896;0,07567098591549297;0,24721363380281688;0,3088;0,4148;0,0319;0,1864;0,0737;0,9563;0,9212;0,9995;0,9829;0,9975
10;42213;310050,6355811434;Rhine;1,3390855276231313;0,034;1920;37;0,117331081881944;0,07699218750000002;0,2914674479166666;0,2977;0,6267;0,04;0,2251;0,0945;0,9599;0,8224;0,9992;0,976;0,9959
11;41903;361011,36655822257;Rhine;1,3214916145274327;0,034;1758;41;0,11937529142396862;0,08166552901023894;0,3389706484641638;0,2751;0,4815;0,0573;0,1981;0,1041;0,956;0,8653;0,9982;0,9768;0,9939
12;41900;439615,0889590909;Rhine;1,8771612040749217;0,024;2972;41;0,11579906380054254;0,07929744279946165;0,6703889973082099;0,3422;0,5285;0,1114;0,3633;0,198;0,9245;0,8208;0,9919;0,9138;0,9742
13;41899;448733,0573867012;Rhine;1,076442685193143;0,042;2901;41;0,11500383594006743;0,07921785591175458;0,6697575318855566;0,3428;0,6588;0,0869;0,3333;0,1286;0,9254;0,7243;0,9957;0,9239;0,9899
14;41897;478239,2477053198;Rhine;1,3111757343729746;0,03;806;26;0,10089063623952928;0,08230148883374691;0,19332952853598015;0,2073;0,3832;0,0772;0,1788;0,1316;0,9338;0,7738;0,9916;0,9532;0,9728
15;41893;555161,3104702845;Rhine;1,6397566670248696;0,024;1310;32;0,11696462937826735;0,08227557251908398;0,26469412213740456;0,2402;0,326;0,0581;0,1941;0,0661;0,9564;0,9198;0,9979;0,9684;0,9972
16;41865;598357,646958985;Rhine;1,644652549728022;0,024;1079;27;0,11329147974518838;0,07730954587581093;0,22918016682113068;0,299;0,5063;0,075;0,2088;0,0772;0,9306;0,8011;0,9963;0,9669;0,9958
17;41891;636723,4951453801;Rhine;1,194980113534383;0,036;754;24;0,1252864012257615;0,08591511936339523;0,23725809018567637;0,2344;0,3951;0,0636;0,1628;0,0813;0,9394;0,8279;0,9961;0,9718;0,9931
18;41927;228129,8234030728;Elbe;0,9643870830598247;0,032;866;25;0,08906047083784316;0,07922748267898384;0,2467376443418014;0,1889;0,1968;0,0683;0,1731;0,1011;0,9823;0,9808;0,9975;0,9833;0,9947
19;41925;312229,81276551547;Elbe;0,6212240038517396;0,054;1126;30;0,08896656607687087;0,0913721136767318;0,3002509769094139;0,1609;0,7279;0,0622;0,1546;0,0498;0,9838;0,668;0,9972;0,9828;0,9982
20;41855;346434,46845029754;Elbe;0,9462097416276204;0,036;1147;33;0,08762876455301243;0,09871926765475152;0,3030631211857018;0,1583;0,185;0,0664;0,1432;0,0987;0,9809;0,974;0,9968;0,9829;0,9929
21;41882;455295,5836026555;Elbe;1,1335881937263352;0,032;2162;40;0,08533245503295614;0,1119962997224792;0,6749313598519889;0,2342;0,222;0,1292;0,2088;0,0678;0,9636;0,9673;0,9892;0,9673;0,9971
22;41885;567037,826478596;Elbe;0,6582331354640596;0,058;1022;35;0,08472447135678438;0,12945009784735811;0,3064779843444227;0,2303;0,1982;0,057;0,1794;0,0834;0,9668;0,9754;0,998;0,9762;0,9958
23;41918;613135,4362074754;Elbe;1,1482288389136468;0,034;1152;31;0,0895320383180907;0,1370017361111111;0,35398906249999995;0,2355;0,2463;0,0599;0,2035;0,0789;0,9704;0,9676;0,9983;0,9742;0,9969
24;41887;712074,4162252684;Elbe;1,2943327118054;0,032;604;24;0,08757516103852055;0,15296192052980134;0,23608592715231783;0,2194;0,3139;0,0594;0,1257;0,0985;0,9584;0,9148;0,9976;0,9851;0,9931
25;42214;173586,2169616771;Oder;0,7827044958773006;0,034;381;6;0,09836514465842883;0,08131233595800526;0,08680761154855644;0,1163;0,2288;0,0307;0,0818;0,0466;0,9837;0,9369;0,9988;0,991;0,9971
26;41866;234513,3393847275;Oder;1,1858872622758763;0,032;747;20;0,08510160891938551;0,11403614457831325;0,16675314591700133;0,1329;0,1669;0,0335;0,0923;0,0618;0,9759;0,962;0,9985;0,9878;0,9946
27;42224;286057,9769483367;Oder;1,1915762291220782;0,032;1117;20;0,08093890219101918;0,10879856759176366;0,28308146821844227;0,1406;0,2256;0,085;0,1308;0,1025;0,9791;0,9461;0,9929;0,9815;0,9894
28;42305;326460,34372443985;Oder;0,905706394238333;0,042;1062;20;0,08494396618491745;0,10882674199623353;0,3065456685499059;0,1439;0,2159;0,0696;0,1263;0,0627;0,9771;0,9484;0,9947;0,9804;0,9955
29;23410;483182,6678917009;Oder;1,6002849887002246;0,024;1356;20;0,1206160588750032;0,12211651917404132;0,8403461651917403;0,3525;0,4003;0,2437;0,3412;0,1933;0,8822;0,8488;0,9546;0,8746;0,9641
