;vs_code;x;y;chainage;wl_mean;wl_max;wl_min
0;38368;15.9347;51.7017;354237.82613167516;68.32763963963963;70.529;67.267
1;42219;14.4172;53.1946;51930.49276846127;0.5430232558139535;1.11;0.2
2;959;14.6161;52.5547;151007.9932845142;13.139733333333334;16.483;11.83
3;38367;15.7825;51.8701;321486.91511517443;58.296181818181815;60.775;57.392
4;38366;15.771;51.8897;318429.0020652413;57.43785714285714;60.359;55.963
5;42222;14.6098;52.4655;162366.88622502924;15.97780821917808;18.53;14.74
6;42221;14.5351;52.634;138182.68049245537;10.041298701298699;12.12;8.79
7;42223;14.5793;52.3124;182665.47075978725;21.384925373134326;23.84;20.07
8;41520;14.4248;52.6949;127645.45737755185;8.285134125636672;10.381;7.041
9;42220;14.4925;53.2837;40463.43624473182;0.4697560975609756;0.94;0.09
10;18750;14.2851;53.0172;74273.76981661422;0.5111;2.552;-0.252
11;41866;14.5531;52.3598;176759.0504944056;19.730298507462685;21.95;18.56
12;41867;14.3098;53.0331;71845.3645113306;1.0064583333333335;2.35;0.45
13;41868;14.6894;52.1523;208173.901172587;28.26676056338028;30.5;27.1
14;41869;14.4347;52.6804;129334.12733139966;8.562894736842106;10.66;7.25
15;41917;14.7516;52.0721;219654.22686434953;31.466923076923077;33.68;30.2
16;42218;14.2199;52.9895;79658.71434432792;1.5187692307692306;3.55;0.57
17;42214;14.309;52.765;116302.72245649906;6.421525423728813;8.23;5.15
18;42215;14.2162;52.8166;107654.12793218507;5.127297297297299;6.9;3.9
19;42216;14.1275;52.85;99110.05645744027;3.806833333333333;6.04;2.43
20;42217;14.1455;52.9266;89775.83847381939;2.55375;4.78;1.21
21;23405;15.2132;52.0769;257953.80140895175;41.581185185185184;43.478;40.272
22;13661;14.6649;52.2611;192858.50637950253;23.425888524590167;26.113;22.16
23;18751;14.4527;52.678;130552.91816438224;8.342947368421052;10.317;7.266
24;18752;14.6877;52.199;202294.93632866806;26.113034883720935;28.863;24.697
25;18753;14.7464;52.0802;218704.02347593967;30.498367521367523;33.398;28.889
26;18754;16.2547;51.6802;380501.00825679855;75.02782208588957;77.833;73.938
27;13660;14.6561;52.2628;192228.20221384778;23.143698275862068;25.712;22.081
28;19763;15.493;52.0442;281092.8135501681;47.50940625;51.732;46.209
29;19765;18.0196;50.4392;633541.1492498029;160.42023287671233;161.024;160.086
30;13659;14.5711;52.4399;166322.0668407397;16.385454545454547;20.046;15.183
31;23402;14.5813;53.3638;31044.271851306097;0.6383220338983051;1.081;0.211
32;23403;14.4109;52.7041;126257.68992283416;7.341328767123288;8.815;6.553
33;23404;15.0362;52.0673;243184.79143202893;37.50823741007195;40.429;36.091
34;42224;14.8376;52.0771;227149.2052232046;33.575294117647054;36.08;32.21
35;23406;15.7319;51.9733;304032.90681462316;53.63773809523809;56.545;52.406
36;23407;15.8194;51.7483;341536.1302457358;64.58442307692309;67.151;63.284
37;23408;15.8493;51.7262;345275.30439196504;64.95620903954803;67.736;63.603
38;23409;16.37;51.6107;394739.2755280377;80.258875;82.838;79.039
39;23410;16.4454;51.4485;420804.76123908535;87.64801398601399;91.526;85.838
40;23411;16.5166;51.2354;453942.38238313544;95.43260248447206;100.314;93.984
41;23412;17.0771;51.0993;506250.4650649092;115.43430088495577;116.092;115.221
42;42305;15.3131;52.0557;266829.7868801139;44.2459649122807;46.81;42.99
