;river_name;id;x;y;chainage
0;Oder;68911;18,2878;49,993;768853,4858455156
1;Oder;68912;18,3275;49,9213;781695,5013390959
2;Oder;68933;18,3267;49,9545;773984,4638130555
3;Oder;69086;17,2926;50,9477;601763,8177541426
4;Oder;69087;17,306;50,9468;601868,7933622316
5;Oder;69092;17,4695;50,8656;619351,2451506639
6;Oder;69096;17,6622;50,8163;637682,4617764044
7;Oder;69105;17,9689;50,4763;692832,0369498505
8;Oder;69106;17,9387;50,6337;670814,1693612168
9;Oder;69109;18,1469;50,3515;714916,401630716
10;Oder;69112;18,2297;50,1221;751526,8164310048
11;Oder;69240;15,7214;51,8021;391321,41696007195
12;Oder;69248;16,0918;51,668;428192,4984896695
13;Oder;69253;16,4436;51,4086;487941,74763362535
14;Oder;69255;16,4937;51,2258;514798,8328773664
15;Oder;69257;16,7267;51,2606;534476,3625736145
16;Oder;69265;17,1471;51,0818;576323,7766808368
17;Oder;69338;14,1528;52,9282;146572,6716058331
18;Oder;69339;14,3203;52,7635;174360,2155239456
19;Oder;69340;14,556;52,3482;235851,34721333778
20;Oder;69341;14,6095;52,5997;202184,0892033345
21;Oder;69344;14,7284;52,0929;275507,96894945117
22;Oder;69348;14,8928;52,0526;290937,8202539168
23;Oder;69352;15,3477;52,0463;329158,18885370286
24;Oder;69357;15,6092;52,0326;349448,9644745906
25;Oder;69456;14,3821;53,1222;116821,24828448432
26;Oder;69458;14,5604;53,4225;78363,95107779292
27;Rhine;33625;7,5293;47,7111;814114,2552352416
28;Rhine;33626;7,6824;48,2575;745994,9447125016
29;Rhine;33627;7,7327;48,3846;729449,2616473042
30;Rhine;33628;7,8077;48,5633;707667,3448579019
31;Rhine;33629;8,3056;49,039;637087,2759203332
32;Rhine;33630;8,4487;49,3238;598387,7825877802
33;Rhine;33631;8,4552;49,4839;574033,8236594733
34;Rhine;33634;8,3775;49,6318;555662,4188815993
35;Rhine;33635;8,3524;49,865;518515,78327755176
36;Rhine;33640;8,2753;50,004;500844,87937699945
37;Rhine;33641;8,03;50,0029;480759,85319059686
38;Rhine;33642;7,8997;49,9703;470390,98735035287
39;Rhine;33643;7,765;50,0854;453009,63905764394
40;Rhine;33644;7,7126;50,1526;442866,8343629428
41;Rhine;33645;7,5921;50,2329;428889,61588180414
42;Rhine;33646;7,6457;50,2705;419503,91202840663
43;Rhine;33647;7,6047;50,3586;408001,1170829464
44;Rhine;33650;7,2102;50,6137;361247,72168024466
45;Rhine;33651;7,108;50,7364;344678,73366212146
46;Rhine;33652;6,9633;50,9369;311503,9527055625
47;Rhine;33653;6,7699;51,2255;255417,53201449368
48;Rhine;33654;6,7279;51,4553;218918,52261433488
49;Rhine;33655;6,6068;51,6461;185703,9044717705
50;Rhine;33656;6,3957;51,757;162298,55736003502
51;Rhine;33657;6,2456;51,8293;147723,81720878056
52;Elbe;33616;9,7029;53,5679;123859,51108045211
53;Elbe;33618;9,5266;53,6297;109893,04924490076
54;Elbe;33619;9,3912;53,7547;92852,53884393293
55;Elbe;33620;9,316;53,8627;79784,17810839116
56;Elbe;33621;9,4948;53,6791;104137,44345622255
57;Elbe;33622;8,7174;53,8677;38780,72168542892
58;Elbe;33623;9,8071;53,5556;130869,07617274203
59;Elbe;33624;9,1487;53,8878;68753,04462965428
60;Elbe;33662;14,2352;50,8758;765689,052570924
61;Elbe;33663;13,7388;51,0545;712427,9610665764
62;Elbe;33664;13,2933;51,3115;659781,3297987826
63;Elbe;33665;13,0101;51,5537;613197,0740809687
64;Elbe;33666;12,8273;51,8269;567200,4159899642
65;Elbe;33667;12,6463;51,8565;553197,56157485
66;Elbe;33668;12,0589;51,8579;493219,0623483327
67;Elbe;33669;11,7388;52,0245;455681,77824388543
68;Elbe;33670;11,7688;52,3138;417722,1279880505
69;Elbe;33671;11,9781;52,5413;379445,29895573255
70;Elbe;33672;12,0313;52,7848;351186,93863447715
71;Elbe;33673;11,7594;52,9855;312293,0372949447
72;Elbe;33674;11,4559;53,08;280962,95520703314
73;Elbe;33676;10,8888;53,2323;228472,2200933882
74;Elbe;33677;10,5588;53,3663;195686,61694197883
75;Elbe;33678;10,4892;53,3762;190767,87815355873
76;Elbe;33679;10,3745;53,4265;181177,82675760685
77;Po;19131;11,2908;45,0175;115084,1581392229
78;Po;19132;10,4192;44,9761;221240,6627062469
79;Po;19133;8,8222;45,0361;409597,54016010533
80;Po;19134;7,6914;44,9094;554311,3923702778
81;Po;19135;8,6317;45,0508;431276,35866025917
82;Po;19137;7,7081;45,0689;530742,1070001756
83;Po;19138;8,4475;45,1422;455843,902652447
84;Po;19139;10,5603;44,9058;204905,61140669507
85;Po;19140;11,1342;45,0553;134309,6891643376
86;Po;19141;12,1633;45,03;25400,8103439789
87;Po;19142;11,7564;44,9583;64983,790242267634
88;Po;19143;9,9953;45,1289;271938,1697385676
89;Po;19144;10,7558;45,0461;172828,74668770397
90;Po;19145;9,2261;45,1386;370247,8406676126
91;Po;19146;11,6075;44,8875;81275,21006657004
92;Po;19147;9,7042;45,0586;310358,9652089248
93;Po;19148;7,9431;45,1725;502459,171768983
94;Po;69970;11,6044;44,8861;81557,87329396114
95;Po;69972;9,3458;45,1017;358641,0769519665
96;Po;69973;10,7556;45,0453;172859,79328914674
97;Po;69974;9,2258;45,1383;370282,0473275758
98;Po;69977;9,9956;45,1292;271938,1697385676
99;Po;69980;8,63;45,0506;431259,49284215196
100;Po;69984;10,7558;45,0461;172828,74668770397
